"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-02-01 11:30:00.0","2","0","0","9","24","0","0","0"
"1998-02-01 11:40:00.0","0","0","0","14","28","0","0","0"
"1998-02-01 11:50:00.0","0","0","0","14","28","0","0","0"
"1998-02-01 12:00:00.0","6","0","0","10","29","0","0","0"
"1998-02-01 12:10:00.0","0","0","0","15","30","0","0","0"
"1998-02-01 12:20:00.0","0","0","0","8","22","0","0","0"
"1998-02-01 12:30:00.0","17","0","3","16","48","0","0","0"
"1998-02-01 12:40:00.0","18","0","15","8","55","0","0","0"
"1998-02-01 12:50:00.0","18","0","0","14","44","0","0","0"
"1998-02-01 13:00:00.0","24","0","0","8","44","0","0","0"
"1998-02-01 13:10:00.0","17","0","0","8","36","0","0","0"
"1998-02-01 13:20:00.0","17","0","0","15","45","0","0","0"
"1998-02-01 13:30:00.0","9","0","0","8","30","0","0","0"
"1998-02-01 13:40:00.0","0","0","0","16","32","0","1","0"
"1998-02-01 13:50:00.0","2","0","0","8","24","0","0","0"
