"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-26 10:30:00.0","14","21","0","0","46","0","0","0"
"1998-01-26 10:40:00.0","14","21","0","0","48","0","0","0"
"1998-01-26 10:50:00.0","14","8","0","0","36","0","0","0"
"1998-01-26 11:00:00.0","14","10","0","0","38","0","0","0"
"1998-01-26 11:10:00.0","14","22","0","0","47","0","0","0"
"1998-01-26 11:20:00.0","14","16","0","0","43","0","0","0"
"1998-01-26 11:30:00.0","11","3","0","0","27","0","0","0"
"1998-01-26 11:40:00.0","0","21","0","0","34","0","0","0"
"1998-01-26 11:50:00.0","0","21","0","0","35","0","0","0"
"1998-01-26 12:00:00.0","1","8","0","0","23","0","0","0"
"1998-01-26 12:10:00.0","16","13","0","63","113","0","3","0"
"1998-01-26 12:20:00.0","15","21","0","0","59","0","8","0"
"1998-01-26 12:30:00.0","15","19","0","0","55","0","7","0"
"1998-01-26 12:40:00.0","15","3","0","0","32","0","0","0"
"1998-01-26 12:50:00.0","14","19","0","0","45","0","0","0"
"1998-01-26 13:00:00.0","15","20","0","0","48","0","0","0"
"1998-01-26 13:10:00.0","14","9","0","0","38","2","0","0"
"1998-01-26 13:20:00.0","15","11","0","0","41","2","0","0"
"1998-01-26 13:30:00.0","14","21","0","0","50","3","0","0"
"1998-01-26 13:40:00.0","14","18","0","0","44","0","0","0"
"1998-01-26 13:50:00.0","12","3","0","0","29","0","0","0"
"1998-01-26 14:00:00.0","0","19","0","0","33","0","0","0"
